ID	Str.	Apt.	Organisation Name	City	Org. Department	Shop Name	Full Address	Latitude	Longitude	Coordinates	Organisation Group
1	ул. Белинского	18	ООО "Град-АГАТ"	г. Калининград		"ДВОРиК"	ул. Белинского, 18, г. Калининград	54.7162781	20.449628	54.7162781, 20.449628	Прочее
2	ул. Арсенальная	22	ИП Карпичева	г. Калининград		"Бублик"	ул. Арсенальная, 22, г. Калининград	54.747302	20.5458851	54.747302, 20.5458851	Прочее
3	ул. Карла маркса	50	ИП Кузнецов	г. Калининград		"Все про мясо"	ул. Карла маркса, 50, г. Калининград	54.7267569	20.4749541	54.7267569, 20.4749541	Прочее
4	ул. Уютная	6	ООО "Инол Балт"	п. Большое Исаково		"ГастрономЪ №1"	ул. Уютная, 6, п. Большое Исаково	54.711179	20.603578	54.711179, 20.603578	Прочее
5	ул. Уютная	8	ООО "Инол Балт"	п. Большое Исаково		"ГастрономЪ №1"	ул. Уютная, 8, п. Большое Исаково	54.7125934	20.6037294	54.7125934, 20.6037294	Прочее
6	пр. Ленинский	83А	ООО "Формат"	г. Калининград		"ГастрономЪ №1"	пр. Ленинский, 83А, г. Калининград	54.70428219	20.5083937	54.70428219, 20.5083937	Прочее
7	ул. Артиллерийская	56	ООО "Альфа-Торг"	г. Калининград		"Зайди-Купи"	ул. Артиллерийская, 56, г. Калининград	54.7310604	20.5504831	54.7310604, 20.5504831	Прочее
8	ул. Белинского	53ст1	ООО "Лава"	г. Калининград		"Зайди-Купи"	ул. Белинского, 53ст1, г. Калининград	54.7155511	20.4427414	54.7155511, 20.4427414	Прочее
9	ул. Гайдара	153	ИП Цветков	г. Калининград		"Овощной"	ул. Гайдара, 153, г. Калининград	54.7420734	20.5091466	54.7420734, 20.5091466	Прочее
10	ул. Леонова	27	ООО "Лавка Вкуса"	г. Калининград		"Лавка Вкуса"	ул. Леонова, 27, г. Калининград	54.7257612	20.4813981	54.7257612, 20.4813981	Прочее
11	ул. Генерала Раевского	4	ООО "Лайм"	г. Калининград		"Лайм Маркет"	ул. Генерала Раевского, 4, г. Калининград	54.7489959	20.5316737	54.7489959, 20.5316737	Прочее
12	ул. Захарова	1	ИП Белов	г. Калининград		"Мясной двор"	ул. Захарова, 1, г. Калининград	54.734716	20.472231	54.734716, 20.472231	Прочее
13	ул. Печатная	60	ИП Овчинникова	г. Калининград		"Мясной двор"	ул. Печатная, 60, г. Калининград	54.6623264	20.4693689	54.6623264, 20.4693689	Прочее
14	ул. Каштановая аллея	70А	ИП Поляков	г. Калининград		"Мясной Магазин"	ул. Каштановая аллея, 70А, г. Калининград	54.7256754	20.4645799	54.7256754, 20.4645799	Прочее
15	ул. Артиллерийская	79	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-49	"Натурово"	ул. Артиллерийская, 79, г. Калининград	54.7360335	20.5517343	54.7360335, 20.5517343	Натурово
16	ул. Каштановая аллея	130	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-50	"Натурово"	ул. Каштановая аллея, 130, г. Калининград	54.728621999	20.4642539	54.728621999, 20.4642539	Натурово
17	ул. Гайдара	173	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-53	"Натурово"	ул. Гайдара, 173, г. Калининград	54.742389	20.511265	54.742389, 20.511265	Натурово
18	ул. 4-я Б. Окружная	31к2	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-54	"Натурово"	ул. 4-я Б. Окружная, 31к2, г. Калининград	54.7513749	20.55748	54.7513749, 20.55748	Натурово
19	ул. Жукова	6	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-56	"Натурово"	ул. Жукова, 6, г. Калининград	54.7489449	20.4938719	54.7489449, 20.4938719	Натурово
20	ул. Кирова	42	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-61	"Натурово"	ул. Кирова, 42, г. Калининград	54.7281624	20.4839174	54.7281624, 20.4839174	Натурово
21	ул. Красная	139	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-62	"Натурово"	ул. Красная, 139, г. Калининград	54.73841299	20.4722648	54.73841299, 20.4722648	Натурово
22	ул. Карамзина	34	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-63	"Натурово"	ул. Карамзина, 34, г. Калининград	54.6664061	20.5067101	54.6664061, 20.5067101	Натурово
23	ул. Дзержинского	98	ООО "Агрофабрика Натурово"	г. Калининград	Натурово-58	"Натурово"	ул. Дзержинского, 98, г. Калининград	54.688886	20.531565	54.688886, 20.531565	Натурово
24	ул. Денисова	18	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-65	"Натурово"	ул. Денисова, 18, г. Калининград	54.7135925	20.5876979	54.7135925, 20.5876979	Натурово
25	ул. Киевская	83	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-67	"Натурово"	ул. Киевская, 83, г. Калининград	54.6811202	20.4778952	54.6811202, 20.4778952	Натурово
26	ул. Красносельская	55	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-68	"Натурово"	ул. Красносельская, 55, г. Калининград	54.7143114	20.4425991	54.7143114, 20.4425991	Натурово
27	ул. Железняка	21	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-69	"Натурово"	ул. Железняка, 21, г. Калининград	54.729072	20.5388231	54.729072, 20.5388231	Натурово
28	ул. Коммунистическая	21	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-70	"Натурово"	ул. Коммунистическая, 21, г. Калининград	54.6794208	20.4838309	54.6794208, 20.4838309	Натурово
29	ул. Леонова	60	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-71	"Натурово"	ул. Леонова, 60, г. Калининград	54.73260699	20.481708	54.73260699, 20.481708	Натурово
30	ул. Аллея смелых	10	ИП Лапонов	г. Калининград		"Свежий продукт"	ул. Аллея смелых, 10, г. Калининград	54.691899	20.5234113	54.691899, 20.5234113	Прочее
31	ул. Генерала Соммера	16	ИП Алубикова	г. Калининград		"Сырная Лавочка"	ул. Генерала Соммера, 16, г. Калининград	54.7158318	20.506882	54.7158318, 20.506882	Прочее
32	ул. Радистов	12	ИП Любимов	г. Калининград		"Сюда еда"	ул. Радистов, 12, г. Калининград	54.7156031	20.4389441	54.7156031, 20.4389441	Прочее
33	ул. Туркменская	1	ООО "Территория вкуса ПРО"	г. Калининград		"Территория вкуса"	ул. Туркменская, 1, г. Калининград	54.729086	20.475688	54.729086, 20.475688	Прочее
34	ул. Мира	71	ООО "Территория вкуса ПРО"	г. Калининград		"Территория вкуса"	ул. Мира, 71, г. Калининград	54.7212431	20.4704191	54.7212431, 20.4704191	Прочее
35	ул. Аллея смелых	8	ИП Зубачева	г. Калининград		"Фасоль"	ул. Аллея смелых, 8, г. Калининград	54.6921089	20.5234417	54.6921089, 20.5234417	Прочее
36	ул. Платова	1	ООО "Богатырь"	г. Калининград		"Фасоль"	ул. Платова, 1, г. Калининград	54.7541398	20.5178131	54.7541398, 20.5178131	Прочее
37	ул. Громовой	19	ООО "Кооператор"	г. Калининград		"Эко-лавка"	ул. Громовой, 19, г. Калининград	54.670741	20.501034	54.670741, 20.501034	Прочее
38	ул. Денисова	22	ООО "Кооператор"	г. Калининград		"Эко-лавка"	ул. Денисова, 22, г. Калининград	54.7128387	20.5890042	54.7128387, 20.5890042	Прочее
39	ул. Некрасова	22	ООО "Лава"	г. Калининград		Гастроном "Домашний"	ул. Некрасова, 22, г. Калининград	54.735779	20.526852	54.735779, 20.526852	Прочее
40	ул. Балтийская	8	ИП Чернышов	г. Калининград		Продуктовый магазин	ул. Балтийская, 8, г. Калининград	54.737381	20.509835	54.737381, 20.509835	Прочее
41	ул. Куйбышева	2	ИП Рзаева Д.Т.	г. Калининград		"ProdLine"	ул. Куйбышева, 2, г. Калининград	54.7258189	20.5286554	54.7258189, 20.5286554	Прочее
42	ул. Коммунальная	4	ООО «ПОНЕСЛАСЬ»	г. Калининград		"У вас ГОРИЗОНТ завален"	ул. Коммунальная, 4, г. Калининград	54.72211799	20.470052	54.72211799, 20.470052	Прочее
43	ул. Ленина	10	ИП Дерр Д.А.	г. Зеленоградск		"Компас Здоровья"	ул. Ленина, 10, г. Зеленоградск	54.9593399	20.4727494	54.9593399, 20.4727494	Компас Здоровья
44	ул. Горького	104Б	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Горького, 104Б, г. Калининград	54.7357911	20.5087693	54.7357911, 20.5087693	Компас Здоровья
45	ул. Горького	14	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Горького, 14, г. Калининград	54.72442599	20.509659	54.72442599, 20.509659	Компас Здоровья
46	ул. Невского	23А	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Невского, 23А, г. Калининград	54.7266342	20.5270527	54.7266342, 20.5270527	Компас Здоровья
47	ул. Гайдара	163	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Гайдара, 163, г. Калининград	54.742687	20.5104281	54.742687, 20.5104281	Компас Здоровья
48	ул. Театральная	31	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Театральная, 31, г. Калининград	54.71735529	20.4985179	54.71735529, 20.4985179	Компас Здоровья
49	ул. Мира	88	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Мира, 88, г. Калининград	54.720992	20.473676	54.720992, 20.473676	Компас Здоровья
50	ул. Фестивальная	15	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Фестивальная, 15, г. Калининград	54.7268456	20.4740936	54.7268456, 20.4740936	Компас Здоровья
51	ул. Красносельская	55	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Красносельская, 55, г. Калининград	54.7143114	20.4425991	54.7143114, 20.4425991	Компас Здоровья
52	ул. Ленинский	67В	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Ленинский, 67В, г. Калининград	54.713131	20.5076881	54.713131, 20.5076881	Компас Здоровья
53	ул. Житомирская	16	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Житомирская, 16, г. Калининград	54.711181	20.506531	54.711181, 20.506531	Компас Здоровья
54	ул. Октябрьская	29а	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Октябрьская, 29а, г. Калининград	54.702477	20.516881	54.702477, 20.516881	Компас Здоровья
55	ул. Багратиона	68	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Багратиона, 68, г. Калининград	54.69951	20.508728	54.69951, 20.508728	Компас Здоровья
56	ул. Громовой	44	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Громовой, 44, г. Калининград	54.670753	20.500143	54.670753, 20.500143	Компас Здоровья
57	ул. Аксакова	129	ИП Дерр Д.А.	г. Калининград		"Компас Здоровья"	ул. Аксакова, 129, г. Калининград	54.7116489	20.5805149	54.7116489, 20.5805149	Компас Здоровья
58	ул. Согласия	50	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-60	"Натурово"	ул. Согласия, 50, г. Калининград	54.752178	20.485694	54.752178, 20.485694	Натурово
59	ул. Леонова	55к2	ООО "Агрофабрика Натурово" 	г. Калининград	Натурово-52	"Натурово"	ул. Леонова, 55к2, г. Калининград	54.731420	20.480924	54.731420, 20.480924	Натурово
60	ул. Красносельская	65	ИП Лоор	г. Калининград		"Коза Дереза"	ул. Красносельская, 65, г. Калининград	54.716622	20.442557	54.716622, 20.442557	Прочее
61	ул. Строительная	1	ИП Мурсалов	г. Калининград		"Друг семьи"	ул. Строительная, 1, г. Калининград	54.719555	20.595423	54.719555, 20.595423	Прочее
62	ул. нртгоьтпнрт7гшол8го78шлрнртоьглип	6	ИП Смешнявкино	г. Калининград			ул. нртгоьтпнрт7гшол8го78шлрнртоьглип, 6, г. Калининград				Прочее
63	ул. Октябрьская	3/5	ИП Дикова О.В.	г. Калининград		"Натурово"	ул. Октябрьская, 3/5, г. Калининград				Натурово
64	ул. Геологическая	11А	ООО "Вираж"	г. Калининград		"Вираж"	ул. Геологическая, 11А, г. Калининград				Прочее